id,username,followersCount,followsCount,verified,biography,fullName,postsCount,profilePicUrl,joinedRecently,private,fake_account
4.82424E+11,reading1139xf,22,2026,FALSE,ðŸ”¥ Engineer from Mumbai | Traveler ðŸŒ,Zoe Nguyen,2,https://loremflickr.com/320/320/kitten,TRUE,TRUE,1
9.9832E+11,dancing3522rx,60,1095,FALSE,Secret to getting rich ðŸ’°ðŸ‘‘ DM me now,Zoe Gupta,2,https://loremflickr.com/320/320/kitten,FALSE,FALSE,1
18579203,maya715ph,193,2584,FALSE,DM for collab ðŸ’¼ | traveling | ðŸ’°,Eva Nguyen,3,https://picsum.photos/id/733/300/300,TRUE,FALSE,1
482283146,music548zs,42,1906,FALSE,Trader | Passionate about dancing | ðŸŒ,Kira Rao,2,https://cataas.com/cat,TRUE,FALSE,1
9941819520,traveling891fg,173,2455,FALSE,Just vibes ðŸŽ§ | music | New York native,Kira Kim,1,https://picsum.photos/id/296/300/300,TRUE,FALSE,1
3878484,trader837qr,58,2850,FALSE,Blogger | Passionate about dancing | ðŸŽ®,Arya Patel,0,https://ui-avatars.com/api/?name=Arya+Sharma&background=random,TRUE,TRUE,1
8367294,gaming03ut,205,1728,FALSE,DM for collab ðŸ’¼ | baking | ðŸ’¯,Neo Singh,0,https://cataas.com/cat,FALSE,FALSE,1
7453482092,arya2344mc,26,2622,FALSE,ðŸ“ Berlin | Engineer | Dream chaser âœ¨,Neo Patel,0,https://cataas.com/cat,TRUE,TRUE,1
7090918582,sunny5038eb,183,2924,FALSE,Watch my live show ðŸ’‹ onlyfans.com/spam,Liam Lee,2,https://cataas.com/cat,FALSE,TRUE,1
77327079750,blogger5539ti,115,1880,FALSE,ðŸ”¥ Blogger from New York | Traveler ðŸŒ,Neo Nguyen,2,https://cataas.com/cat,FALSE,FALSE,1
23001315513,baking31zh,64,1667,FALSE,ðŸ’‹ Posting about coding | Designer from Mumbai,Arya Fernandez,2,https://loremflickr.com/320/320/kitten,FALSE,TRUE,1
55570071,baking41vy,159,1817,FALSE,DM for collab ðŸ’¼ | baking | ðŸ’‹,Maya Lee,2,https://cataas.com/cat,TRUE,TRUE,1
9096486959,sketching695tg,102,1540,FALSE,Just vibes ðŸŽ§ | sketching | New York native,Alex Singh,3,https://ui-avatars.com/api/?name=Alex+Lee&background=random,FALSE,TRUE,1
